iter	Passed	Remaining
0	1	105
1	2	99
2	2	92
3	3	81
4	4	76
5	4	72
6	5	68
7	5	65
8	6	64
9	7	64
10	8	65
11	8	65
12	9	64
13	10	62
14	10	60
15	11	59
16	11	58
17	12	57
18	13	56
19	14	56
20	14	55
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	17	48
27	18	47
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	21	42
34	22	41
35	22	40
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	27	34
44	27	34
45	28	33
46	29	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	67	0
